No.total,Serial No.,StationCo,Name_Kor,Name_Eng,River Syst,River name,Transmissi,Instrument,Address,Longitude,Latitude,Longitude_,Latitude_d,Beginning,Tidal,Elevation,Elevatio_1,Possible,Discharge,Drainage A,Distance f,Grade of,Remarks,Management,classifica,권역,Level,선정1,Final,확대지점,type,주의수위,경계수위,심각수위,기왕 최대수위,기왕 최대수위 사상,경계수위 초과유무,경계수위 초과사상,심각수위 초과유무,심각수위 초과사상,Hydro model,Rating curve,시나리오대상,Basic Model,Predict Rainfall Model,Scenario model,Representative,
649,18,1004685,충주시(팔봉교),Chungjusi(Palbonggyo),한강,달천,M2M,레이더식,충청북도 충주시 살미면 토계리 417-6 팔봉교,127-55-16,36-53-57,127.9211111,36.89916667,2011-06-05,무,71.602,88.546,10,유,1259.34,15,최적(A),괴산댐 발전방류 영향,한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
650,19,1004690,충주시(향산리),Chungjusi(Hyangsanri),한강,달천,VSAT/M2M,부자식,충청북도 충주시 살미면 향산리 492,127-55-27,36-55-29,127.9241667,36.92472222,1985-08-30,무,71.187,79.61,7,무,1375.1,10.1,최적(A),관측소 침수 및 파손으로 폐지(11. 30)로 이후 자료 결측 처리함(12.1~12.31),한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
651,20,1005620,충주시(충주조정지댐방수로),Chungjusi(Chungjujojeongjidambangsuro),한강,한강,유선,부자식,충청북도 충주시 중앙탑면 장천리 1137-1 충주조정지댐방수로,127-51-57,37-02-47,127.8658333,37.04638889,1985-08-30,무,0,212.34,69,무,8340,190.2,최적(A),충주조정지댐 운영 영향,한국수자원공사,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
652,21,1005635,충주시(충주조정지댐),Chungjusi(Chungjujojeongjidam),한강,한강,유선,부자식,충청북도 충주시 중앙탑면 장천리 1137-2 충주조정지댐,127-51-59,37-02-40,127.8663889,37.04444444,1985-08-30,무,0,111.235,70,무,8340,190.2,최적(A),충주조정지댐 운영 영향,한국수자원공사,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
653,22,1006610,횡성군(율동리),Hoengseonggun(Yuldongli),한강,계천,VSAT/M2M,부자식,강원도 횡성군 갑천면 율동리 84-24,128-07-07,37-34-00,128.1186111,37.56666667,1999-06-22,무,186.458,192.221,5.4,무,174.5,19.1,우수(B),"동절기 하천결빙(1. 1~1. 31), 취수구 유입부 토사 퇴적으로 인한 결측(3. 1~4. 25, 9. 4~9. 14, 10. 2~11. 10)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
654,23,1006612,횡성군(포동2교),Hoengseonggun(Podong2gyo),한강,계천,M2M,레이더식,강원도 횡성군 갑천면 포동리 40 포동2교,128-05-55,37-33-09,128.0986111,37.5525,2018-12-14,무,176.592,185.792,7,유,170.79,16.6,최적(A),동절기 하천결빙(1. 17~1. 25),한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
655,24,1006615,횡성군(횡성댐),Hoengseonggun(Hoengseongdam),한강,계천,VSAT/M2M,부자식/압력식,강원도 횡성군 갑천면 대관대리 산35-1 횡성댐,128-01-49,37-32-43,128.0302778,37.54527778,1991-10-01,무,0,178.524,181.4,무,209,7.3,최적(A),"수위계(압력식) 이중화(1.1), 횡성댐 운영 영향",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
656,25,1009650,화천군(평화의댐),Hwacheongun(Pyeonghwauidam),한강,북한강,유선/M2M,압력식/압력식,강원도 화천군 화천읍 동촌리 3061-3 평화의댐,127-50-40,38-12-37,127.8444444,38.21027778,1998-10-10,무,0,230.407,264.6,무,3208,148.5,최적(A),화천댐 운영 영향,한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
657,26,1009652,화천군(평화나래교),Hwacheongun(Pyeonghwanaraegyo),한강,북한강,VSAT/M2M,압력식/레이더식,강원도 화천군 화천읍 동촌리 3061 평화나래교,127-51-05,38-12-29,127.8513889,38.20805556,2010-08-18,무,0,188.902,180.4,무,3227,148.2,최적(A),화천댐 운영 영향,한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
658,27,1010640,양구군(각시교),Yanggugun(Gagsigyo),한강,수입천,VSAT/M2M,레이더식,강원도 양구군 방산면 오미리 979 각시교,127-55-33,38-11-26,127.9258333,38.19055556,1998-09-12,무,223.61,232.723,9.8,무,293.4,15.3,보통(C)," 동절기 하천결빙(1. 1~3. 7, 12. 17~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
659,28,1010670,화천군(오작교),Hwacheongun(Ojakgyo),한강,북한강,VSAT/M2M,압력식/레이더식,강원도 화천군 화천읍 풍산리 산 269 오작교,127-48-41,38-17-06,127.8113889,38.285,2002-10-01,무,166.08,235.48,70,무,3121.21,159.5,우수(B),"화천댐 운영 영향, 동절기 하천결빙(1. 1~1. 10, 2. 1~3. 8)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
660,29,1010680,화천군(화천대교),Hwacheongun(Hwacheondaegyo),한강,북한강,VSAT/M2M,레이더식,강원도 화천군 하남면 위라리 525 화천대교,127-42-30,38-06-02,127.7083333,38.10055556,2002-10-01,무,98.139,111.869,8,무,4418.95,109.7,최적(A),"화천댐 운영 영향, 기기점검으로 인한 결측(3. 14~3. 23)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
661,30,1011650,인제군(어두원교),Injegun(Eoduweongyo),한강,북천,VSAT/M2M,레이더식,강원도 인제군 북면 원통리 900 어두원교,128-14-01,38-08-08,128.2336111,38.13555556,2000-04-24,무,231.811,240.749,8,유,304.1,3.2,우수(B),"동절기 하천결빙(1. 1~2. 28, 12. 17~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
662,31,1011690,인제군(원통리),Injegun(Weontongri),한강,인북천,VSAT/M2M,부자식,강원도 인제군 북면 원통리 1736,128-11-20,38-07-31,128.1888889,38.12527778,1972-08-10,무,218.298,222.042,10,무,531,8,우수(B),"동절기 하천결빙(1. 1~1. 10, 1. 25~3. 8, 12. 16~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
663,32,1011693,인제군(도리촌교),Injegun(Dorichongyo),한강,인북천,M2M,레이더식,강원도 인제군 북면 월학리 475 도리촌교,128-12-25,38-08-51,128.2069444,38.1475,2011-06-05,무,227.837,239.463,10,유,505,13,우수(B),"동절기 하천결빙(1. 1~1. 10, 1. 16~3. 8, 12. 16~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
664,33,1012650,인제군(원대교),Injegun(Weondaegyo),한강,소양강,VSAT/M2M,레이더식,강원도 인제군 인제읍 원대리 204-3 원대교,128-14-26,38-00-29,128.2405556,38.00805556,1972-08-01,무,227.82,241.953,9,유,1039.1,83,우수(B),"동절기 하천결빙(1. 1~1. 2, 2. 1~2. 28, 12. 23~12. 31)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
665,34,1012657,인제군(사구미교),Injegun(Sagumigyo),한강,소양강,M2M,레이더식,강원도 인제군 인제읍 남북리 175-1 사구미교,128-10-06,38-03-19,128.1683333,38.05527778,2017-05-16,무,182.425,193.534,18.3,유,1993.6,68,우수(B),"수위표영점표고 변경(182.244 → 182.425), 영점표고검정수준점 변경(193.587 →193.534), 수위표 최고독수(12.0 → 18.3), 동절기 하천결빙(1. 1~2. 28)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
666,35,1012670,인제군(양구대교),Injegun(Yanggudaegyo),한강,소양강,VSAT/M2M,부자식,강원도 인제군 남면 상수내리 58-1 양구대교,128-03-24,37-59-38,128.0566667,37.99388889,1992-07-31,무,0,208.123,201,무,2294.3,49,우수(B),"소양강댐 운영 영향, 영점표고검정수준점 변경(208.043 → 208.123)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
667,36,1012680,춘천시(소양강댐),Chuncheonsi(Soyanggangdam),한강,소양강,유선,부자식/압력식,강원도 춘천시 신북읍 천전리 산73-6 소양강댐,127-48-55,37-56-57,127.8152778,37.94916667,1972-08-11,무,0,203.822,204.5,무,2703,12,우수(B),"소양강댐 운영 영향, 영점표고검정수준점 변경(202.540 → 203.822)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
668,37,1012682,춘천시(소양강댐방수로),Chuncheonsi(Soyanggangdambangsuro),한강,소양강,유선,음파식,강원도 춘천시 신북읍 천전리 1-4 소양강댐방수로,127-48-39,37-56-39,127.8108333,37.94416667,1972-08-11,무,0,89.223,88,무,2703,11,최적(A),"소양강댐 운영 영향, 영점표고검정수준점 변경(89.335 → 89.223)",한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
669,38,1012688,춘천시(소양6교),Chuncheonsi(Soyang6gyo),한강,소양강,M2M,레이더식,강원도 춘천시 동면 지내리 749 소양6교,127-46-36,37-55-39,127.7766667,37.9275,2009-08-27,무,74.391,85.689,8,무,2718.21,2.5,최적(A),소양강댐 운영 영향,한국수자원공사,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
670,39,1021628,철원군(백마교),Cheorwongun(Baengmagyo),한강,역곡천,M2M,레이더식,강원도 철원군 철원읍 중세리 8-1 백마교,127-09-38,38-17-08,127.1605556,38.28555556,2022-07-29,무,172.675,179.527,7,무,240,48.6,최적(A),동절기 하천결빙(1. 1~3. 12),한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
671,40,1021660,연천군(군남댐),Yeoncheongun(Gunnamdam),한강,임진강,유선/M2M,부자식/압력식,경기도 연천군 군남면 솔너머길 99 군남댐,127-01-13,38-06-12,127.0202778,38.10333333,2009-12-01,무,0,50.038,46,무,4191,74,최적(A),황강댐/군남댐 운영 영향,한국수자원공사,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
672,41,1022638,철원군(군탄교),Cheorwongun(Guntangyo),한강,한탄강,VSAT/M2M,레이더식,강원도 철원군 갈말읍 군탄리 산171-10 군탄교,127-16-44,38-08-27,127.2788889,38.14083333,2016-04-02,무,94.495,140.085,21,무,997.9,51.5,최적(A),"동절기 하천결빙(1. 1~2. 9, 12. 14~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
673,42,1022642,포천시(대회산교),Pochenonsi(Daehoesangyo),한강,한탄강,VSAT/M2M,레이더식,경기도 포천시 영북면 대회산리 산42-1 대회산교,127-13-17,38-05-21,127.2213889,38.08916667,2016-04-02,무,72.088,122.321,43,무,1090.2,39,최적(A),"동절기 하천결빙(1. 1~2. 9, 12. 14~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
674,43,1022643,포천시(영로대교),Pochenonsi(Yeongrodaegyo),한강,한탄강,VSAT/M2M,레이더식,경기도 포천시 창수면 운산리 산108-2 영로대교,127-12-19,38-04-03,127.2052778,38.0675,2016-04-02,무,62.921,119.825,53,유,1111.1,36.5,최적(A),"동절기 하천결빙(1. 1~1. 31, 12. 14~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
675,44,1022644,연천군(한탄강댐),Yeoncheongun(Hantangangdam),한강,한탄강,유선/M2M,레이더식,경기도 포천시 창수면 신흥리 482-2 한탄강댐,127-07-59,38-03-50,127.1330556,38.06388889,2016-06-01,무,0,119.865,121,무,1262.2,27,최적(A),"한탄강댐 및 고문 소수력 발전방류 영향, 동절기 하천결빙(1. 1~1. 31, 12. 14~12. 31), 보조수위계(압력식) 철거 ",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
676,45,1022645,연천군(한여울교),Yeoncheongun(Hanyeoulgyo),한강,한탄강,유선/M2M,레이더식,경기도 연천군 연천읍 고문리 545-7 한여울교,127-07-45,38-03-39,127.1291667,38.06083333,2016-05-05,무,0,90.499,56,무,1264.5,26,최적(A),"한탄강댐 및 고문 소수력 발전방류 영향, 동절기 하천결빙(1. 1~2. 19, 12. 15~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
677,46,1022665,연천군(궁신교),Yeoncheongun(Gungsingyo),한강,한탄강,VSAT/M2M,레이더식,경기도 연천군 청산면 궁평리 561-1 궁신교,127-06-14,38-02-11,127.1038889,38.03638889,2009-06-01,무,32.734,64.434,17.1,무,2452.2,18.8,최적(A),"고문 소수력 발전방류 영향, 동절기 하천결빙(1. 1~1. 31, 12. 14~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
678,47,1022666,연천군(고탄교),Yeoncheongun(Gotangyo),한강,한탄강,VSAT/M2M,레이더식,경기도 연천군 청산면 장탄리 735-2 고탄교,127-04-33,38-01-52,127.0758333,38.03111111,2016-05-04,무,24.386,38.056,11,무,1864.9,12,최적(A),"고문 소수력 발전방류 영향, 동절기 하천결빙(1. 1~1. 31, 12. 17~12. 31)",한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
679,48,1302663,동해시(달방댐),Donghaesi(Dalbangdam),한강동해,신흥천,VSAT/M2M,부자식/레이더식,강원도 동해시 달방동 산129-6 달방댐,129-02-08,37-30-19,129.0355556,37.50527778,1990-01-01,무,0,117.5,118,무,29.4,6,최적(A),달방댐 운영 영향,한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
680,49,1302665,동해시(원평교),Donghaesi(Wonpyunggyo),한강동해,신흥천,M2M,레이더식,강원도 동해시 이로동 138 원평교,129-04-02,37-29-23,129.0672222,37.48972222,2009-08-06,무,30.571,36.819,5,무,52.8,2.6,최적(A),달방댐 운영 영향,한국수자원공사,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
681,50,2001613,태백시(루사교),Taebaeksi(Lusagyo),낙동강,철암천,M2M,레이더식,강원도 태백시 동점동 루사교,129-02-39,37-05-33,129.0441667,37.0925,2019-01-01,무,518.78,526.91,6,유,59.7,0.13,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
682,51,2001629,봉화군(현동교),Bonghwagun(Hyeondonggyo),낙동강,낙동강,M2M,레이더식,경상북도 봉화군 소천면 현동리 현동교,129-00-41,36-55-55,129.0113889,36.93194444,2019-01-01,무,284.731,297.61,7.3,유,528.42,432.7,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
683,52,2001630,봉화군(임기리),Bonghwagun(Imgiri),낙동강,낙동강,VSAT/M2M,부자식,경상북도 봉화군 소천면 임기리 1504,129-00-04,36-53-00 ,129.0011111,36.88333333,1978-07-16,무,250.079,262.029,11,유,696.8,421.5,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
684,53,2001658,봉화군(양삼교),Andongsi(Yangsamgyo),낙동강,낙동강,VSAT/M2M,부자식,경상북도 봉화군 명호면 관창리 111-2(양삼교),128-53-09,36-46-44 ,128.8858333,36.76777778,2009-09-03,무,173.107,182.702,8,유,1148,393.5,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
685,54,2001680,안동시(안동댐방수로),Andongsi(Andongdambangsuro),낙동강,낙동강,유선,부자식,경상북도 안동시 성곡동 산164-19(안동댐방수로),128-46-15,36-35-01 ,128.7708333,36.58361111,1978-07-16,무,0,165.956,98.7,무,1584,339.6,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
686,55,2001685,안동시(안동댐),Andongsi(Andongdam),낙동강,낙동강,유선,부자식,경상북도 안동시 성곡동 산164-19(안동댐),128-46-28,36-34-58 ,128.7744444,36.56888889,1978-07-16,무,0,165.956,163,무,1584,340,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
687,56,2001690,안동시(안동조정지댐),Andongsi(Andongjojeongjidam),낙동강,낙동강,유선,부자식,경상북도 안동시 성곡동 산28-3(조정지댐),128-44-55,36-34-01 ,128.7486111,36.56694444,1978-07-16,무,0,165.956,100,무,1584,336.8,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
688,57,2002609,청송군(성덕댐),Cheongsonggun(Seongdeokdam),낙동강,보현천,VSAT,부자식/압력식,경상북도 청송군 안덕면 성덕댐로 1191,128-57-47,36-14-31,128.9630556,36.24194444,2014-07-01,무,0,368.5,367,무,41.3,7.6,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
689,58,2002613,포항시(상사4교),Pohangsi(Sangsa4gyo),낙동강,병보천,M2M,레이더식,경상북도 포항시 죽장면 하사리 상사4교,129-05-18,36-15-14 ,129.0883333,36.25111111,2005-07-30,무,346.747,350.457,3.6,유,19.6,7.3,우수(B),"전송방법 변경(VSAT,M2M → M2M)",한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
690,59,2002616,청송군(명당리),Cheongsonggun(Myoungdangri),낙동강,보현천,VSAT,압력식,경상북도 청송군 안덕면 명당3길 29,128-57-25,36-17-07,128.9569444,36.28527778,2014-02-01,무,274.047,279.385,5.2,무,65.57,1.9,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
691,60,2002620,영양군(양평교),Yeongyanggun(Yangpyeonggyo),낙동강,반변천,VSAT/M2M,레이더식/압력식,"경상북도 영양군 영양읍 영양로 1610, 양평교",129-06-23,36-39-11,129.1063889,36.65305556,1987-09-30,무,209.776,216.454,7.3,유,334,74.9,최적(A),영점표고검정수준점 변경(218.140 → 216.454),한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
692,61,2002630,청송군(송강2교),Cheongsonggun(Songgang2gyo),낙동강,용전천,VSAT/M2M,레이더식,"경상북도 청송군 파천면 곳티길6, 송강2교",129-01-17,36-29-02,129.0213889,36.48388889,2004-07-30,무,157.194,176.379,10,무,397.8,5.9,최적(A),영점표고검정수준점 변경(176.393 → 176.379),한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
693,62,2002633,영양군(임천교),Yeongyanggun(Imcheongyo),낙동강,동천,VSAT/M2M,부자식/압력식,"경상북도 영양군 입암면 청기로 319-14, 임천교",129-04-02,36-36-52,129.0672222,36.61444444,2010-09-24,무,190.84,196.21,5.1,유,142.7,2,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
694,63,2002635,영양군(흥구리),Yeongyanggun(Heungguri),낙동강,반변천,VSAT/M2M,부자식,경상북도 영양군 입암면 흥구1길 7-20,129-03-57,36-32-44,129.0658333,36.54555556,2004-07-30,무,162.953,170.867,7,유,666.9,52.3,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
695,64,2002638,영양군(흥구교),Yeongyanggun(Heunggugyo),낙동강,반변천,M2M,레이더식,경상북도 영양군 입암면 흥구리 흥구교,129-04-50,36-33-07,129.0805556,36.55194444,2019-01-01,무,164.938,177.349,6,유,540.65,54.6,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
696,65,2002645,청송군(광덕교),Cheongsonggun(Gwangdeokgyo),낙동강,서시천,VSAT/M2M,레이더식,"경상북도 청송군 진보면 광덕세장길 43, 광덕교",129-02-36,36-32-10,129.0433333,36.53611111,2004-07-30,무,157.391,167.518,9,무,780.3,47.7,우수(B),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
697,66,2002655,청송군(덕천교),Cheongsonggun(Deokcheongyo),낙동강,용전천,VSAT/M2M,압력식,"경상북도 청송군 파천면 길안청송로 1491-3, 덕천교",129-01-49,36-26-34,129.0302778,36.44277778,1987-09-30,무,172.55,179.988,7,유,305,11.6,최적(A),영점표고검정수준점 변경(180.159 → 179.988),한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
698,67,2002675,안동시(임하댐방수로),Andongsi(Imhadambangsuro),낙동강,반변천,유선,부자식,경상북도 안동시 임하면 호계길 121-93,128-52-52,36-32-19,128.8811111,36.53861111,1987-09-30,무,0,0,100,무,1361,16.6,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
699,68,2002677,안동시(임하댐),Andongsi(Imhadam),낙동강,반변천,유선,부자식/압력식,경상북도 안동시 임하면 호계길 121-93,128-53-04,36-32-20,128.8844444,36.53888889,1987-09-30,무,0,0,165,무,1361,16.8,우수(B),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
700,69,2002680,안동시(임하조정지댐),Andongsi(Imhajojeongjidam),낙동강,반변천,유선,레이더식,경상북도 안동시 임하면 경동로 1850-2,128-50-43,36-32-11,128.8452778,36.53638889,1987-09-30,무,0,0,106,무,1376,11.6,우수(B),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
701,70,2002686,안동시(신덕교),Andongsi(Sindeokgyo),낙동강,길안천,VSAT/M2M,레이더식,"경상북도 안동시 임하면 금소길533-20, 신덕교",128-50-15,36-31-10,128.8375,36.51944444,2011-10-18,무,97.16,107.047,7,유,515.8,1.3,최적(A),영점표고검정수준점 변경(107.029 → 107.047),한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
702,71,2002692,안동시(포진교),Andongsi(Pojingyo),낙동강,반변천,VSAT/M2M,부자식/레이더식,"경상북도 안동시 남선면 샘들윗길 83, 포진교",128-47-43,36-32-05,128.7952778,36.53472222,1987-09-30,무,89.968,102.732,11,무,1892,7,최적(A),영점표고검정수준점 변경(102.856 → 102.732),한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
703,72,2003610,안동시(안동대교),Andongsi(Andongdeagyo),낙동강,낙동강,VSAT/M2M,부자식,경상북도 안동시 태화동 안동대교,128-42-59,36-33-01 ,128.7163889,36.55027778,1995-07-20,무,82.78,91.481,10,무,3590,331.9,최적(A),,한국수자원공사,,낙동강,국가,,,,본류,,,,,,,,,,,,,,,,,
704,73,2003650,안동시(검암교),Andongsi(Geomamgyo),낙동강,미천,VSAT/M2M,레이더식,경상북도 안동시 남후면 검바우길 99 검암교,128-39-25,36-32-27,128.6569444,36.54083333,2004-07-30,무,76.199,85.264,7,무,374.8,0.2,우수(B),"영점표고 변경(76.493 → 76.199)
영점표고검정수준점 변경(85.344 → 85.264)",한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
705,74,2004608,영주시(신암교),Yeongjusi(Isangyo),낙동강,내성천,VSAT/M2M,레이더식,경상북도 영주시 이산면 신암리 1436-4 신암교,128-41-13,36-51-10,128.6869444,36.85277778,2015-09-01,무,164.072,168.649,6.2,유,282.5,80.9,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
706,75,2004610,영주시(영주유사조절지),Yeongjusi(Yeongjuyusajojeolji),낙동강,내성천,VSAT/M2M,레이더식,경상북도 영주시 이산면 신천리 152,128-42-04,36-47-05,128.7011111,36.78472222,2016-07-06,무,0,0,165,무,450.7,71.9,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
707,76,2004630,영주시(영주댐),Yeongjusi(YeongjuDam),낙동강,내성천,M2M/유선,부자식/압력식,경상북도 영주시 평은면 용혈리 산180-1,128-39-23,36-43-18,128.6563889,36.72166667,2016-07-06,무,0,167.986,169,무,500,58.5,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
708,77,2004632,영주시(미림교),Yeongjusi(Yonghyeolri),낙동강,내성천,VSAT/M2M,레이더식,경상북도 영주시 평은면 용혈리 1184-1 미림교,128-38-42,36-43-05,128.645,36.71805556,2016-07-06,무,118.89,124.44,4,무,520.42,57.1,최적(A),,한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
709,78,2005670,상주시(상우교),Sangjusi(Sangwugyo),낙동강,이안천,M2M,레이더식,경상북도 상주시 외서면 우산리 상우교,128-03-53,36-28-12 ,128.0647222,36.46722222,2005-07-30,무,124.046,131.498,6,유,70.8,28.8,최적(A),"전송방법 변경(VSAT,M2M → M2M)",한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
710,79,2008603,군위군(군위댐),Gunwigun(Gunwidam),낙동강,위천,M2M/유선,부자식/압력식,경상북도 군위군 삼국유사면 삼국유사로 418,128-47-39,36-07-15,128.7941667,36.12083333,2010-01-01,무,0,0,205,무,87.5,100.3,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
711,80,2008605,군위군(동곡교),Gunwigun(Dongkokgyo),낙동강,위천,VSAT/M2M,레이더식,경상북도 군위군 삼국유사면 양지리 동곡교,128-49-19,36-09-40,128.8219444,36.16111111,2010-01-01,무,204.074,208.634,6,유,46.2,105.9,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
712,81,2008621,군위군(화수교),Gunwigun(Hwasugyo),낙동강,위천,VSAT/M2M,부자식,경상북도 군위군 삼국유사면 화수리 화수교,128-45-15,36-07-34,128.7541667,36.12611111,2010-01-01,무,143.142,149.901,6,무,109,91,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
713,82,2010620,김천시(수달교),Gimcheonsi(Soodalkyo),낙동강,부항천,VSAT/M2M,레이더식,경상북도 김천시 부항면 지좌리 수달교,127-58-06,35-58-55,127.9683333,35.98194444,2012-10-12,무,197.2,204.12,8,무,69.09,6,최적(A),"주소변경(지좌리 470-2 → 수달교)
전송방법 변경(VSAT → VSAT,M2M)",한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
714,83,2010623,김천시(도곡1교),Gimcheonsi (Dogok1kyo),낙동강,부항천,VSAT/M2M,레이더식,경상북도 김천시 지례면 도곡1교,128-00-50,35-58-39,128.0138889,35.9775,2012-10-12,무,139.46,141.46,3.9,무,85.44,0.8,최적(A),"수위표 최고독수 변경(3.5m → 3.9m)
전송방법 변경(VSAT → VSAT,M2M)",한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
715,84,2010625,김천시(김천부항댐),Gimcheonsi(Gimcheonbuhangdam),낙동강,부항천,유선,부자식/압력식,경상북도 김천시 부항면 유촌리 산44-9,128-00-16,35-58-57,128.0044444,35.9825,2012-10-12,무,0,0,200.4,무,82,2.1,최적(A),,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
716,85,2010630,김천시(교리교),Gimcheonsi(Gyorikyo),낙동강,감천,VSAT/M2M,압력식,경상북도 김천시 지례면 교리 교리교,128-01-56,35-59-18,128.0322222,35.98833333,2012-10-12,무,126.57,129.15,5.4,무,256.61,51.4,최적(A),"주소변경(교리 504-57 → 교리교)
전송방법 변경(VSAT → VSAT,M2M)",한국수자원공사,,낙동강,국가,,,,지류,,,,,,,,,,,,,,,,,
717,86,2012605,포항시(논골교),Pohangsi(Nongolgyo),낙동강,자호천,VSAT,레이더식,경상북도 포항시 북구 죽장면 지동리 논골교,129-04-48,36-08-02,129.08,36.13388889,2010-07-03,무,181.91,189.902,6.6,유,143.5,26.2,최적(A),하천공사로 인한 수위변동,한국수자원공사,,낙동강,지방,,,,지류,,,,,,,,,,,,,,,,,
